source,target,rem_blink_score
6.0,0.0,0.13202288658691463
6.0,4120.0,0.06734395159872864
1337.0,1901.0,0.24656446554942033
1337.0,2613.0,0.14417299503883987
1337.0,1988.0,0.14349122755295726
1337.0,8.0,0.13447667659729062
1337.0,749.0,0.13277275389579118
1337.0,1350.0,0.13277275389579118
1337.0,1351.0,0.13277275389579118
1337.0,1208.0,0.12640002650907367
1337.0,2632.0,0.10511561917793512
1337.0,149.0,0.10469325229512937
1337.0,3784.0,0.10469325229512937
1337.0,811.0,0.07208583733371164
4120.0,27.0,0.2422184121380656
4120.0,4836.0,0.2325724601019881
4120.0,1257.0,0.2301480392413901
4120.0,60.0,0.1590978047932312
4120.0,54.0,0.1568565194562599
4120.0,5071.0,0.14689445161291656
4120.0,57.0,0.13277275389579118
4120.0,202.0,0.13277275389579118
4120.0,3326.0,0.13277275389579118
4120.0,2348.0,0.13202288658691463
4120.0,5458.0,0.11570816505977283
4120.0,55.0,0.10550644467246723
4120.0,5688.0,0.10550644467246723
4120.0,490.0,0.10469325229512937
4120.0,1205.0,0.10469325229512937
4120.0,4593.0,0.10469325229512937
4120.0,875.0,0.0737432321271627
4120.0,2435.0,0.0737432321271627
4120.0,4.0,0.07208583733371164
4120.0,1195.0,0.059795844920257205
4120.0,2338.0,0.059795844920257205
4120.0,649.0,0.1520851325325709
4120.0,5958.0,0.14417299503883987
2824.0,2094.0,0.14689445161291656
2824.0,4507.0,0.14417299503883987
2824.0,3084.0,0.13660286869964147
2824.0,1797.0,0.13277275389579118
2824.0,120.0,0.11570816505977283
2824.0,4934.0,0.10790386188911541
2824.0,1507.0,0.10469325229512937
2824.0,810.0,0.10090326233681544
2824.0,4107.0,0.10002008312708506
2824.0,813.0,0.07670403280569388
2824.0,4341.0,0.07670403280569388
2824.0,3083.0,0.0737432321271627
2824.0,4108.0,0.0737432321271627
2824.0,1.0,0.07208583733371164
2824.0,37.0,0.07208583733371164
2824.0,71.0,0.07208583733371164
2824.0,808.0,0.07208583733371164
2824.0,812.0,0.07208583733371164
2824.0,955.0,0.07208583733371164
2824.0,1905.0,0.07208583733371164
1.0,615.0,0.0703305136326404
795.0,2510.0,0.2575071668356593
795.0,1903.0,0.1818160070010874
795.0,151.0,0.1656962672834405
795.0,3283.0,0.16284726436170335
795.0,5931.0,0.1587741202943444
795.0,743.0,0.14907979096156734
795.0,3185.0,0.14734270839356198
795.0,386.0,0.14546666926085722
795.0,4003.0,0.14218675005061776
795.0,1796.0,0.14039025408610925
795.0,150.0,0.13304181951269714
795.0,343.0,0.10469325229512937
795.0,797.0,0.10459619687614478
795.0,385.0,0.07725172450419439
795.0,1136.0,0.07208583733371164
795.0,139.0,0.06411463155366832
795.0,446.0,0.06411463155366832
795.0,699.0,0.06411463155366832
795.0,794.0,0.05163941143651103
795.0,1904.0,0.14417299503883987
795.0,7982.0,0.14417299503883987
2.0,796.0,0.0737432321271627
796.0,3.0,0.11218244208669297
796.0,793.0,0.10690980271909628
796.0,798.0,0.10690980271909628
796.0,1991.0,0.07208583733371164
104.0,2421.0,0.13277275389579118
104.0,3.0,0.13202288658691463
3.0,947.0,0.11570816505977283
947.0,255.0,0.22286899667701107
947.0,4929.0,0.14734270839356198
947.0,6462.0,0.14470365717259445
947.0,2073.0,0.14417299503883987
947.0,31.0,0.11570816505977283
947.0,289.0,0.11570816505977283
947.0,540.0,0.11570816505977283
947.0,694.0,0.11570816505977283
947.0,1986.0,0.11570816505977283
947.0,4694.0,0.11570816505977283
947.0,234.0,0.11189520318256845
947.0,3178.0,0.08559331856482318
947.0,617.0,0.0737432321271627
947.0,3692.0,0.0737432321271627
947.0,178.0,0.07208583733371164
947.0,196.0,0.07208583733371164
947.0,1067.0,0.07011904336529359
947.0,2346.0,0.07011904336529359
947.0,2913.0,0.07011904336529359
947.0,1059.0,0.0669039727407868
947.0,5452.0,0.0669039727407868
947.0,342.0,0.06411463155366832
947.0,582.0,0.06411463155366832
947.0,584.0,0.06411463155366832
947.0,6463.0,0.06267778568455155
951.0,3787.0,0.22565082310110568
951.0,255.0,0.17888082363562824
951.0,1501.0,0.14689445161291656
951.0,3907.0,0.14603440207656004
951.0,4700.0,0.14170754584585835
951.0,98.0,0.1311174035788226
951.0,132.0,0.11570816505977283
951.0,4474.0,0.11570816505977283
951.0,262.0,0.10639969981441393
951.0,887.0,0.10511561917793512
951.0,648.0,0.10090326233681544
951.0,49.0,0.06734395159872864
951.0,52.0,0.06734395159872864
951.0,1070.0,0.0669039727407868
951.0,9718.0,0.0669039727407868
951.0,9725.0,0.06411463155366832
951.0,4929.0,0.14547196148941585
22.0,348.0,0.07208583733371164
348.0,266.0,0.660754866826045
348.0,593.0,0.5365541937243352
348.0,4483.0,0.4147790240812915
348.0,291.0,0.23766055604100497
348.0,2362.0,0.23617341477141687
348.0,64.0,0.1847032362973754
348.0,630.0,0.14887012212845344
348.0,1747.0,0.14547196148941585
348.0,45.0,0.1448596131387907
348.0,65.0,0.14470365717259445
348.0,1216.0,0.14470365717259445
348.0,8572.0,0.14417299503883987
348.0,128.0,0.13782402852406136
348.0,8702.0,0.13391524554209142
